province_id	province_name	data_full	data_no_full	total
63	TP. Hồ Chí Minh	59983	40798	100781
1	TP. Hà Nội	4207	15108	19315
61	Đà Nẵng	260	10216	10476
43	Đồng Nai	23039	5232	28271
12	Tây Ninh	12206	4303	16509
62	Cần Thơ	3864	3058	6922
33	Khánh Hòa	16002	737	16739
29	Lâm Đồng	8780	1198	9978
60	Hải Phòng	11876	382	12258
34	Hưng Yên	7012	132	7144
46	Đắk Lắk	5197	651	5848
4	Vĩnh Long	2162	826	2988
42	Đồng Tháp	1498	655	2153
54	Bắc Ninh	3137	109	3246
16	Quảng Ninh	4319	46	4365
21	Phú Thọ	4487	131	4618
59	An Giang	250	431	681
23	Ninh Bình	1105	147	1252
8	TP Huế	4371	287	4658
41	Gia Lai	1355	343	1698
9	Thanh Hóa	1598	110	1708
10	Thái Nguyên	1617	22	1639
17	Quảng Ngãi	996	84	1080
24	Nghệ An	1606	46	1652
48	Cà Mau	194	94	288
15	Quảng Trị	465	25	490
38	Hà Tĩnh	135	17	152
27	Lào Cai	297	17	314
13	Sơn La	105	1	106
28	Lạng Sơn	44	4	48
5	Tuyên Quang	47	4	51
44	Điện Biên	450	0	450
30	Lai Châu	8	0	8
47	Cao Bằng	9	0	9
