province_id	province_name	data_full_uploaded	data_no_full_uploaded	total_uploaded
63	TP. Hồ Chí Minh	58192	26364	84556
1	TP. Hà Nội	4146	31201	35347
61	Đà Nẵng	260	11131	11391
43	Đồng Nai	18241	4794	23035
12	Tây Ninh	10283	3785	14068
62	Cần Thơ	3287	2315	5602
33	Khánh Hòa	10067	2354	12421
29	Lâm Đồng	7536	1586	9122
60	Hải Phòng	9960	1582	11542
34	Hưng Yên	5378	1685	7063
46	Đắk Lắk	4938	656	5594
4	Vĩnh Long	1945	742	2687
42	Đồng Tháp	1266	635	1901
54	Bắc Ninh	2661	662	3323
16	Quảng Ninh	3635	435	4070
21	Phú Thọ	3691	704	4395
59	An Giang	232	407	639
23	Ninh Bình	776	386	1162
8	TP Huế	3674	475	4149
41	Gia Lai	1207	479	1686
9	Thanh Hóa	1237	350	1587
10	Thái Nguyên	1469	261	1730
17	Quảng Ngãi	883	155	1038
24	Nghệ An	1111	160	1271
48	Cà Mau	184	101	285
15	Quảng Trị	395	87	482
38	Hà Tĩnh	115	40	155
27	Lào Cai	258	55	313
13	Sơn La	93	16	109
28	Lạng Sơn	38	20	58
5	Tuyên Quang	43	13	56
44	Điện Biên	181	3	184
30	Lai Châu	6	1	7
47	Cao Bằng	8	3	11
