province_id	province_name	total_uploaded
63	TP. Hồ Chí Minh	18422
1	TP. Hà Nội	1875
61	Đà Nẵng	1167
43	Đồng Nai	506
12	Tây Ninh	127
62	Cần Thơ	282
33	Khánh Hòa	110
29	Lâm Đồng	123
60	Hải Phòng	52
34	Hưng Yên	13
46	Đắk Lắk	110
4	Vĩnh Long	29
42	Đồng Tháp	16
54	Bắc Ninh	3
16	Quảng Ninh	3
21	Phú Thọ	3
59	An Giang	30
23	Ninh Bình	2
8	TP Huế	44
41	Gia Lai	11
9	Thanh Hóa	12
10	Thái Nguyên	1
17	Quảng Ngãi	10
24	Nghệ An	9
48	Cà Mau	9
15	Quảng Trị	3
38	Hà Tĩnh	1
27	Lào Cai	2
13	Sơn La	0
28	Lạng Sơn	0
5	Tuyên Quang	0
44	Điện Biên	0
30	Lai Châu	0
47	Cao Bằng	0
